Date,AAPL,AMZN,CVS,UNH,WMT
2024-01-02,185.63999938964844,149.92999267578125,80.8499984741211,539.3400268554688,53.0966682434082
2024-01-03,184.25,148.47000122070312,80.87999725341797,542.030029296875,53.099998474121094
2024-01-04,181.91000366210938,144.57000732421875,80.51000213623047,545.4199829101562,52.586666107177734
2024-01-05,181.17999267578125,145.24000549316406,81.41999816894531,537.3800048828125,52.23666763305664
2024-01-08,185.55999755859375,149.10000610351562,80.68000030517578,536.52001953125,52.75
2024-01-09,185.13999938964844,151.3699951171875,80.36000061035156,538.3699951171875,53.10333251953125
2024-01-10,186.19000244140625,153.72999572753906,79.23999786376953,537.6400146484375,53.76333236694336
2024-01-11,185.58999633789062,155.17999267578125,78.93000030517578,539.6799926757812,53.70333480834961
2024-01-12,185.9199981689453,154.6199951171875,76.55999755859375,521.510009765625,53.77333450317383
2024-01-16,183.6300048828125,153.16000366210938,77.41999816894531,519.1500244140625,53.94333267211914
2024-01-17,182.67999267578125,151.7100067138672,76.98999786376953,524.9400024414062,53.689998626708984
2024-01-18,188.6300048828125,153.5,73.87999725341797,516.3400268554688,54.413333892822266
2024-01-19,191.55999755859375,155.33999633789062,73.22000122070312,503.55999755859375,54.12666702270508
2024-01-22,193.88999938964844,154.77999877929688,73.93000030517578,512.989990234375,54.130001068115234
2024-01-23,195.17999267578125,156.02000427246094,75.0999984741211,515.52001953125,54.266666412353516
2024-01-24,194.5,156.8699951171875,74.19000244140625,513.22998046875,53.5
2024-01-25,194.1699981689453,157.75,71.98999786376953,493.3999938964844,54.279998779296875
2024-01-26,192.4199981689453,159.1199951171875,73.0,503.20001220703125,54.75666809082031
2024-01-29,191.72999572753906,161.25999450683594,73.4800033569336,504.5400085449219,55.01333236694336
2024-01-30,188.0399932861328,159.0,73.8499984741211,503.6099853515625,55.1966667175293
2024-01-31,184.39999389648438,155.1999969482422,74.37000274658203,511.739990234375,55.08333206176758
2024-02-01,186.86000061035156,159.27999877929688,73.91999816894531,507.1400146484375,56.10333251953125
2024-02-02,185.85000610351562,171.80999755859375,73.08999633789062,510.2300109863281,56.52333450317383
2024-02-05,187.67999267578125,170.30999755859375,72.44000244140625,502.9599914550781,56.220001220703125
2024-02-06,189.3000030517578,169.14999389648438,73.76000213623047,510.6700134277344,56.60333251953125
2024-02-07,189.41000366210938,170.52999877929688,76.05000305175781,519.3900146484375,56.459999084472656
2024-02-08,188.32000732421875,169.83999633789062,75.08000183105469,520.0900268554688,56.456668853759766
2024-02-09,188.85000610351562,174.4499969482422,76.31999969482422,518.219970703125,56.426666259765625
2024-02-12,187.14999389648438,172.33999633789062,77.29000091552734,517.6400146484375,56.766666412353516
2024-02-13,185.0399932861328,168.63999938964844,76.58999633789062,516.8499755859375,56.380001068115234
2024-02-14,184.14999389648438,170.97999572753906,76.41000366210938,516.9400024414062,56.20000076293945
2024-02-15,183.86000061035156,169.8000030517578,76.5999984741211,520.8800048828125,56.43000030517578
2024-02-16,182.30999755859375,169.50999450683594,77.0999984741211,521.5499877929688,56.78666687011719
2024-02-20,181.55999755859375,167.0800018310547,76.30999755859375,521.0599975585938,58.619998931884766
2024-02-21,182.32000732421875,168.58999633789062,77.1500015258789,521.969970703125,57.900001525878906
2024-02-22,184.3699951171875,174.5800018310547,77.0999984741211,526.5,58.470001220703125
2024-02-23,182.52000427246094,174.99000549316406,77.19999694824219,527.239990234375,58.52000045776367
2024-02-26,181.16000366210938,174.72999572753906,76.43000030517578,525.3200073242188,59.599998474121094
2024-02-27,182.6300048828125,173.5399932861328,76.2699966430664,513.4199829101562,59.59000015258789
2024-02-28,181.4199981689453,173.16000366210938,75.19000244140625,498.2799987792969,59.619998931884766
2024-02-29,180.75,176.75999450683594,74.37000274658203,493.6000061035156,58.61000061035156
2024-03-01,179.66000366210938,178.22000122070312,73.83999633789062,489.5299987792969,58.7599983215332
2024-03-04,175.10000610351562,177.5800018310547,73.88999938964844,481.8699951171875,59.29999923706055
2024-03-05,170.1199951171875,174.1199951171875,73.70999908447266,473.1499938964844,60.040000915527344
2024-03-06,169.1199951171875,173.50999450683594,74.33999633789062,472.6000061035156,60.56999969482422
2024-03-07,169.0,176.82000732421875,74.30000305175781,478.7799987792969,60.36000061035156
2024-03-08,170.72999572753906,175.35000610351562,75.06999969482422,476.57000732421875,60.119998931884766
2024-03-11,172.75,171.9600067138672,75.94000244140625,489.1499938964844,60.65999984741211
2024-03-12,173.22999572753906,175.38999938964844,75.20999908447266,489.3500061035156,61.40999984741211
2024-03-13,171.1300048828125,176.55999755859375,75.08000183105469,488.0,61.279998779296875
2024-03-14,173.0,178.75,76.41999816894531,489.0,61.02000045776367
2024-03-15,172.6199951171875,174.4199981689453,77.4000015258789,490.82000732421875,60.68000030517578
2024-03-18,173.72000122070312,174.47999572753906,77.56999969482422,487.04998779296875,60.86000061035156
2024-03-19,176.0800018310547,175.89999389648438,78.05999755859375,493.32000732421875,60.869998931884766
2024-03-20,178.6699981689453,178.14999389648438,78.9800033569336,494.2300109863281,61.25
2024-03-21,171.3699951171875,178.14999389648438,78.2699966430664,491.69000244140625,61.45000076293945
2024-03-22,172.27999877929688,178.8699951171875,78.4800033569336,490.07000732421875,60.869998931884766
2024-03-25,170.85000610351562,179.7100067138672,78.9800033569336,485.8800048828125,60.56999969482422
2024-03-26,169.7100067138672,178.3000030517578,79.31999969482422,492.30999755859375,60.5099983215332
2024-03-27,173.30999755859375,179.8300018310547,79.43000030517578,493.1000061035156,60.720001220703125
