,AAPL,AMZN,CVS,UNH,WMT,ARIMA_AAPL,RF_AAPL,ARIMA_AMZN,RF_AMZN,ARIMA_CVS,RF_CVS,ARIMA_UNH,RF_UNH,ARIMA_WMT,RF_WMT
2024-01-02,185.63999938964844,149.92999267578125,80.8499984741211,539.3400268554688,53.0966682434082,192.61060860539632,177.34359756469726,151.9376102687077,163.9263639831543,78.95895210490181,104.8954006958008,526.6631370865907,482.33669921875,52.55612515100711,47.632965927124026
2024-01-03,184.25,148.47000122070312,80.87999725341797,542.030029296875,53.09999847412109,192.69453714375467,176.93269638061523,151.92776573599156,162.04116470336913,78.95760181322797,105.46800071716308,526.899751793355,491.23789764404296,52.561103696165965,47.67576560974121
2024-01-04,181.91000366210935,144.57000732421875,80.51000213623047,545.4199829101562,52.58666610717773,192.7784754236004,173.46139755249024,151.9179598352128,163.9234553527832,78.95626179476712,104.9324993133545,527.1349953609925,485.5004956054688,52.56601814537681,47.79459964752197
2024-01-05,181.17999267578125,145.24000549316406,81.41999816894531,537.3800048828125,52.23666763305664,192.8624137320405,173.08489868164062,151.90815373417175,162.42328414916992,78.95492142835145,105.0171989440918,527.370282198942,476.64650268554686,52.5709290139686,48.003965835571286
2024-01-08,185.55999755859372,149.10000610351562,80.68000030517578,536.52001953125,52.75,192.94635204056456,172.8786015319824,151.89834763416883,159.53799133300782,78.95358107372107,105.92480026245116,527.6055676713701,482.077102355957,52.57583968253474,48.02283382415772
2024-01-09,185.13999938964844,151.3699951171875,80.36000061035156,538.3699951171875,53.10333251953125,193.0302903490889,174.87520065307618,151.88854153416054,161.5310221862793,78.9522407186915,105.61790008544922,527.8408531868912,483.5625018310547,52.58075033992677,47.96113277435303
2024-01-10,186.19000244140625,153.72999572753906,79.23999786376953,537.6400146484375,53.76333236694336,193.1142286576132,174.81799926757813,151.87873543415225,162.8662730407715,78.95090036367546,105.40619934082032,528.0761387010523,475.1560006713867,52.58566099669458,47.91106552124023
2024-01-11,185.58999633789065,155.17999267578125,78.93000030517578,539.6799926757812,53.70333480834961,193.19816696613748,172.15980056762697,151.86892933414398,162.4938801574707,78.94956000865896,105.2312986755371,528.3114242152565,470.4104977416992,52.59057165342752,48.08540027618408
2024-01-12,185.9199981689453,154.6199951171875,76.55999755859375,521.510009765625,53.77333450317383,193.28210527466177,171.65510101318358,151.8591232341357,161.19833602905274,78.94821965364248,105.17209953308104,528.5467097294592,467.9425009155273,52.5954823101585,48.18916599273682
2024-01-16,183.6300048828125,153.16000366210938,77.41999816894531,519.1500244140625,53.94333267211914,193.4499818917104,171.23589950561524,151.83951103411914,159.95221267700197,78.9455389436095,104.58920127868652,529.0172807578647,470.5400994873047,52.60530362362025,47.57356731414795
2024-01-17,182.67999267578125,151.7100067138672,76.98999786376953,524.9400024414062,53.68999862670898,193.53392020023463,169.52090209960937,151.82970493411088,157.44410583496094,78.94419858859303,104.26030029296876,529.2525662720674,467.4982946777344,52.61021428035112,47.72250030517578
2024-01-18,188.6300048828125,153.5,73.87999725341797,516.3400268554688,54.413333892822266,193.61785850875896,168.27720153808593,151.81989883410262,156.79278213500976,78.94285823357654,102.96890045166016,529.4878517862702,462.23339416503904,52.615124937082,47.75423400878906
2024-01-19,191.55999755859372,155.33999633789062,73.22000122070312,503.55999755859375,54.12666702270508,193.70179681728325,166.54609939575195,151.81009273409433,155.17617797851562,78.94151787856005,102.72509895324708,529.723137300473,463.6000039672852,52.62003559381287,47.79386661529541
2024-01-22,193.88999938964844,154.77999877929688,73.93000030517578,512.989990234375,54.130001068115234,193.7857351258076,163.17500076293945,151.80028663408606,148.00869689941408,78.94017752354357,103.44960083007813,529.9584228146757,463.4859957885742,52.624946250543736,46.87010021209717
2024-01-23,195.17999267578125,156.02000427246094,75.0999984741211,515.52001953125,54.26666641235352,193.86967343433187,161.44470153808595,151.79048053407777,146.2847805786133,78.93883716852709,103.38030044555664,530.1937083288785,461.0214938354492,52.62985690727461,46.53300022125244
2024-01-24,194.5,156.8699951171875,74.19000244140625,513.22998046875,53.5,193.95361174285617,161.52460159301756,151.7806744340695,145.70933029174805,78.9374968135106,103.4556997680664,530.4289938430812,459.9063961791992,52.634767564005486,46.20160018920898
2024-01-25,194.1699981689453,157.75,71.98999786376953,493.3999938964844,54.27999877929688,194.0375500513805,162.0634016418457,151.77086833406125,144.64629196166993,78.93615645849411,103.7780997467041,530.664279357284,459.3913021850586,52.63967822073636,45.810466613769535
2024-01-26,192.4199981689453,159.1199951171875,73.0,503.2000122070313,54.75666809082031,194.1214883599048,161.80710250854492,151.76106223405296,141.56870231628417,78.93481610347763,104.47419960021972,530.8995648714867,464.16690032958985,52.64458887746723,45.55979972839356
2024-01-29,191.72999572753903,161.25999450683594,73.4800033569336,504.5400085449219,55.01333236694336,194.20542666842903,169.96340118408204,151.7512561340447,147.99881042480467,78.93347574846115,105.50800079345704,531.1348503856896,468.352299194336,52.6494995341981,46.48149974822998
2024-01-30,188.0399932861328,159.0,73.8499984741211,503.6099853515625,55.1966667175293,194.28936497695332,174.20010177612303,151.7414500340364,152.59402488708497,78.93213539344467,105.57060142517088,531.3701358998923,468.4714025878906,52.65441019092897,46.6435998916626
2024-01-31,184.3999938964844,155.1999969482422,74.37000274658203,511.739990234375,55.08333206176758,194.37330328547765,173.45810028076173,151.73164393402814,150.9497989654541,78.93079503842817,104.8344009399414,531.6054214140951,468.28490264892577,52.65932084765984,46.49026638031006
