,Ticker,ARIMA_MAE,ARIMA_MSE,ARIMA_RMSE,RF_MAE,RF_MSE,RF_RMSE,Winner
0,AAPL,15.802594533550101,337.7963484479601,18.3792368842659,23.31308506610965,1002.328583273513,31.659573327407827,ARIMA
1,AMZN,24.019727901634045,694.9212980413869,26.361359942942755,36.275446268507274,1960.2913779337482,44.275177898386225,ARIMA
2,CVS,9.50036878494256,156.92367446643414,12.526917995518057,31.976221816638287,1051.098915149073,32.420655686600064,ARIMA
3,UNH,43.67333813462084,2474.3328885541005,49.74266668117121,32.85878517592248,1583.1505401960044,39.78882431281433,Random Forest
4,WMT,7.090931688699014,66.07760900843786,8.12881350557619,13.147568103695704,219.20733359209908,14.805652082637193,ARIMA
