Date,Ticker,Forecast
2024-01-01,WMT,47.90906681060791
2024-01-01,AMZN,164.96523223876954
2024-01-01,AAPL,178.3089971923828
2024-01-01,CVS,104.552201461792
2024-01-01,UNH,483.09370025634763
2024-01-02,WMT,47.632965927124026
2024-01-02,AMZN,163.9263639831543
2024-01-02,AAPL,177.34359756469726
2024-01-02,CVS,104.89540069580079
2024-01-02,UNH,482.33669921875
2024-01-03,WMT,47.67576560974121
2024-01-03,AMZN,162.04116470336913
2024-01-03,AAPL,176.93269638061523
2024-01-03,CVS,105.46800071716308
2024-01-03,UNH,491.23789764404296
2024-01-04,WMT,47.79459964752197
2024-01-04,AMZN,163.9234553527832
2024-01-04,AAPL,173.46139755249024
2024-01-04,CVS,104.9324993133545
2024-01-04,UNH,485.50049560546876
2024-01-05,WMT,48.003965835571286
2024-01-05,AMZN,162.42328414916992
2024-01-05,AAPL,173.08489868164062
2024-01-05,CVS,105.0171989440918
2024-01-05,UNH,476.64650268554686
2024-01-06,WMT,48.054365997314456
2024-01-06,AMZN,162.0855990600586
2024-01-06,AAPL,172.4698992919922
2024-01-06,CVS,104.00669906616211
2024-01-06,UNH,467.14860168457034
2024-01-07,WMT,48.15806564331055
2024-01-07,AMZN,161.68989532470704
2024-01-07,AAPL,172.1137989807129
2024-01-07,CVS,104.33090087890625
2024-01-07,UNH,465.8971029663086
2024-01-08,WMT,48.022833824157715
2024-01-08,AMZN,159.53799133300782
2024-01-08,AAPL,172.8786015319824
2024-01-08,CVS,105.92480026245117
2024-01-08,UNH,482.07710235595704
2024-01-09,WMT,47.961132774353025
2024-01-09,AMZN,161.5310221862793
2024-01-09,AAPL,174.87520065307618
2024-01-09,CVS,105.61790008544922
2024-01-09,UNH,483.5625018310547
2024-01-10,WMT,47.91106552124023
2024-01-10,AMZN,162.8662730407715
2024-01-10,AAPL,174.81799926757813
2024-01-10,CVS,105.40619934082031
2024-01-10,UNH,475.1560006713867
2024-01-11,WMT,48.08540027618408
2024-01-11,AMZN,162.4938801574707
2024-01-11,AAPL,172.15980056762695
2024-01-11,CVS,105.2312986755371
2024-01-11,UNH,470.4104977416992
2024-01-12,WMT,48.18916599273682
2024-01-12,AMZN,161.19833602905274
2024-01-12,AAPL,171.65510101318358
2024-01-12,CVS,105.17209953308105
2024-01-12,UNH,467.9425009155273
2024-01-13,WMT,48.266133041381835
2024-01-13,AMZN,160.41975692749023
2024-01-13,AAPL,171.6728025817871
2024-01-13,CVS,105.33039916992188
2024-01-13,UNH,467.6133001708984
